_join_year,player_name_clean_nfl,school_clean_nfl,position_nfl,pfr_player_id,gsis_id,player_id,player_name_clean_jack,school_clean_jack,position_jack,name_norm
1980,Karl Swanke,Boston Col.,T,SwanKa20,SWA276860,17809,Karl Swanke,Boston College,Offensive Guard,karl swanke
1980,Chris Foote,USC,C,FootCh20,00-0005402,17810,Chris Foote,USC,,chris foote
1980,Scott Brunner,Delaware,QB,BrunSc00,BRU683984,17811,Scott Brunner,Delaware,Quarterback,scott brunner
1980,Mike Davis,Colorado,DB,,,17812,Mike Davis,Colorado,Defensive Back,mike davis
1980,Bubba Garcia,Texas-El Paso,WR,GarcBu20,GAR109697,17813,Bubba Garcia,UTEP,Wide Receiver,bubba garcia
1980,Ray Yakavonis,East Stroudsburg,NT,YakaRa20,YAK415291,17814,Ray Yakavonis,East Stroudsburg,Defensive End,ray yakavonis
1980,George Visger,Colorado,DT,VisgGe20,VIS276861,17815,George Visger,Colorado,Defensive End,george visger
1980,Lester Boyd,Kentucky,LB,,,17816,Lester Boyd,Kentucky,Linebacker,lester boyd
1980,LaRue Harrington,Norfolk St.,RB,HarrLa20,HAR327028,17817,LaRue Harrington,Norfolk State,Running Back,larue harrington
1980,Tom Schremp,Wisconsin,DE,,,17818,Tom Schremp,Wisconsin,Defensive End,tom schremp
1980,Mark McNeal,Idaho,DE,,,17819,Mark McNeal,Idaho,Defensive End,mark mcneal
1980,Mike Guman,Penn St.,RB,GumaMi00,GUM415291,17820,Mike Guman,Penn State,Running Back,mike guman
1980,Farley Bell,Cincinnati,LB,,,17821,Farley Bell,Cincinnati,Linebacker,farley bell
1980,Mike Guess,Ohio St.,DB,,,17822,Mike Guess,Ohio State,Defensive Back,mike guess
1980,Keith Bishop,Baylor,G,BishKe00,BIS498348,17823,Keith Bishop,Baylor,Offensive Guard,keith bishop
1980,Eugene Byrd,Michigan St.,WR,,,17824,Eugene Byrd,Michigan State,Wide Receiver,eugene byrd
1980,Andrew Melontree,Baylor,LB,MeloAn20,MEL553722,17825,Andrew Melontree,Baylor,Linebacker,andrew melontree
1980,Preston Brown,Vanderbilt,WR,BrowPr20,BRO581808,17826,Preston Brown,Vanderbilt,Wide Receiver,preston brown
1980,Greg Murtha,Minnesota,T,MurtGr20,MUR790062,17827,Greg Murtha,Minnesota,Offensive Tackle,greg murtha
1980,Wayne Hamilton,Alabama,LB,,,17829,Wayne Hamilton,Alabama,Linebacker,wayne hamilton
1980,Larry Heater,Arizona,RB,HeatLa00,HEA537427,17830,Larry Heater,Arizona,Running Back,larry heater
1980,Tunch Ilkin,Indiana St.,T,IlkiTu00,00-0008006,17831,Tunch Ilkin,Indiana State,Offensive Tackle,tunch ilkin
1980,Eddie Murray,Tulane,K,murraedd01,00-0011859,17832,Eddie Murray,Tulane,Place Kicker,eddie murray
1980,Ron Simpkins,Michigan,LB,SimpRo20,SIM461405,17833,Ron Simpkins,Michigan,Linebacker,ron simpkins
1980,Gary Don Johnson,Baylor,DT,,,17834,Gary Don Johnson,Baylor,Defensive Tackle,gary don johnson
1980,Buddy Aydelette,Alabama,T,AydeBu20,AYD415291,17835,Buddy Aydelette,Alabama,Offensive Tackle,buddy aydelette
1980,Ben Apuna,Arizona St.,LB,ApunBe20,APU415291,17837,Ben Apuna,Arizona State,Linebacker,ben apuna
1980,Mike Smith,Grambling St.,WR,SmitMi23,SMI515040,17838,Mike Smith,Grambling State,Wide Receiver,mike smith
1980,Malcolm Barnwell,Virginia Union,WR,BarnMa01,BAR548710,17839,Malcolm Barnwell,Virginia Union,Wide Receiver,malcolm barnwell
1980,Henry Johnson,Georgia Tech,LB,JohnHe20,JOH301134,17840,Henry Johnson,Georgia Tech,Linebacker,henry johnson
1980,Chuck Loewen,South Dakota St.,T,LoewCh20,LOE553722,17841,Chuck Loewen,South Dakota State,Offensive Guard,chuck loewen
1980,Kirk Collins,Baylor,DB,CollKi20,COL538335,17842,Kirk Collins,Baylor,Defensive Back,kirk collins
1980,Mike Morucci,Bloomsburg,RB,,,17843,Mike Morucci,Bloomsburg,Running Back,mike morucci
1980,Bud Hebert,Oklahoma,DB,HebeBu20,HEB415290,17845,Bud Hebert,Oklahoma,Defensive Back,bud hebert
1980,Tom Kearns,Kentucky,G,,,17846,Tom Kearns,Kentucky,Offensive Guard,tom kearns
1980,Chris Linnin,Washington,DE,LinnCh20,LIN773280,17847,Chris Linnin,Washington,Defensive End,chris linnin
1980,Craig Bradshaw,Utah St.,QB,BradCr20,BRA321842,17848,Craig Bradshaw,Utah State,Quarterback,craig bradshaw
1980,Emanuel Tolbert,SMU,WR,,,17849,Emanuel Tolbert,SMU,Wide Receiver,emanuel tolbert
1980,John Havekost,Nebraska,G,,,17850,John Havekost,Nebraska,Offensive Guard,john havekost
1980,Joe Rose,California,TE,RoseJo00,ROS237300,17851,Joe Rose,California,Tight End,joe rose
1980,Jim Leonard,Santa Clara,G,LeonJi22,LEO622935,17852,Jim Leonard,Santa Clara,,jim leonard
1980,Melvin Jones,Houston,G,JoneMe20,JON604604,17853,Melvin Jones,Houston,Offensive Guard,melvin jones
1980,Terrell Ward,San Diego St.,DB,,,17854,Terrell Ward,San Diego State,Defensive Back,terrell ward
1980,Lester Brown,Clemson,RB,,,17855,Lester Brown,Clemson,Running Back,lester brown
1980,Bennie Leverett,Bethune-Cookman,RB,,,17856,Bennie Leverett,Bethune-Cookman,Running Back,bennie leverett
1980,Stuart Dodds,Montana St.,P,,,17857,Stuart Dodds,Montana State,Punter,stuart dodds
1980,Gerry Ellis,Missouri,RB,ElliGe00,ELL489831,17858,Gerry Ellis,Missouri,Running Back,gerry ellis
1980,Nate Johnson,Hillsdale,WR,JohnNa21,JOH543984,17859,Nate Johnson,Hillsdale,Wide Receiver,nate johnson
1980,Tim Smith,Oregon St.,DB,,,17745,Tim Smith,Nebraska,Wide Receiver,tim smith
1981,George Rogers,South Carolina,RB,RogeGe00,ROG325008,18000,George Rogers,South Carolina,Running Back,george rogers
